state file
AN CovidPopulation_May2_run3.data
AP CovidPopulation_May2_run3.data
AR CovidPopulation_May12_run1.data
AS CovidPopulation_May2_run3.data
BR CovidPopulation_May2_run3.data
CH CovidPopulation_May2_run3.data
CT CovidPopulation_May2_run3.data
DL CovidPopulation_May2_run3.data
GA CovidPopulation_May12_run1.data
GJ CovidPopulation_May12_run1.data
HR CovidPopulation_May2_run3.data
HP CovidPopulation_May2_run3.data
JK CovidPopulation_May2_run3.data
JH CovidPopulation_May12_run1.data
KA CovidPopulation_May2_run3.data
KL CovidPopulation_May2_run3.data
LA CovidPopulation_May2_run3.data
LD CovidPopulation_May12_run1.data
MP CovidPopulation_May12_run1.data
MH CovidPopulation_May2_run3.data
MN CovidPopulation_May12_run1.data
OR CovidPopulation_May2_run3.data
PY CovidPopulation_May2_run3.data
PB CovidPopulation_May2_run3.data
RJ CovidPopulation_May2_run3.data
SK CovidPopulation_May12_run1.data
TN CovidPopulation_May12_run1.data
TG CovidPopulation_May2_run3.data
TR CovidPopulation_May12_run1.data
UP CovidPopulation_May2_run3.data
UT CovidPopulation_May2_run3.data
WB CovidPopulation_May2_run3.data
Total CovidPopulation_May2_run3.data
